t,tau2,tau3,tau6,tau7,dtr2,dtr3,dtr6,dtr7
t,tau2,tau3,tau6,tau7,dtr2,dtr3,dtr6,dtr7
0.090000,12.181636,-0.604454,-2.150000,-0.660000,0.281636,-0.704454,-9.001580,-7.383936
0.190000,13.763544,1.072458,-0.650000,-0.660000,1.863544,0.972458,12.601603,-2.818867
0.290000,10.549470,-0.900000,-0.650000,0.840000,-1.350530,-4.355510,6.940134,10.192923
0.390000,12.090470,1.100000,-1.028903,-0.660000,0.190470,1.026841,0.371097,-1.212738
0.490000,12.205800,-0.900000,-0.650000,-0.660000,0.305800,-1.930603,0.929807,-19.280641
0.590000,11.066953,-0.900000,-0.746328,-0.660000,-0.833047,-1.118848,0.653672,-19.697760
0.690000,11.455473,-0.777467,-0.650000,-0.660000,-0.444527,-0.877467,2.067692,-16.746000
0.790000,11.278464,-0.365705,-0.650000,-0.660000,-0.621536,-0.465705,2.287677,-8.079948
0.890000,11.647730,0.612755,-0.650000,0.840000,-0.252270,0.512755,1.551966,2.654642
0.990000,12.125792,1.100000,-1.055672,0.840000,0.225792,1.044604,0.344328,12.544504
1.090000,12.458232,1.100000,-2.150000,0.840000,0.558232,1.042668,-1.147540,14.029562
1.190000,12.696552,0.689283,-2.150000,0.840000,0.796552,0.589283,-1.956699,8.605818
1.290000,12.600635,-0.340116,-2.150000,-0.660000,0.700635,-0.440116,-1.789782,-2.135492
1.390000,12.312038,-0.900000,-2.150000,-0.660000,0.412038,-1.258256,-0.958780,-14.802684
1.490000,11.987106,-0.900000,-1.256939,-0.660000,0.087106,-1.441611,0.143061,-19.762619
1.590000,11.676450,-0.869179,-0.650000,-0.660000,-0.223550,-0.969179,1.160135,-15.375955
1.690000,11.424570,-0.146420,-0.650000,-0.660000,-0.475430,-0.246420,2.026921,-7.539731
1.790000,11.369435,0.603461,-0.650000,0.840000,-0.530565,0.503461,2.330139,1.456077
1.890000,11.506889,1.100000,-0.650000,0.840000,-0.393111,1.117156,1.900928,9.991273
1.990000,11.730578,1.100000,-0.650000,0.840000,-0.169422,1.068136,1.243327,16.166749
2.090000,12.022102,1.100000,-0.944006,0.840000,0.122102,1.100402,0.455994,18.291242
2.190000,12.287314,0.542714,-1.836147,0.840000,0.387314,0.442714,-0.436147,10.053422
2.290000,12.461633,-0.370349,-2.150000,-0.660000,0.561633,-0.470349,-1.222999,-2.081148
2.390000,12.621802,-0.900000,-2.150000,-0.660000,0.721802,-1.329826,-1.948103,-15.470374
2.490000,12.665878,-0.900000,-2.150000,-0.660000,0.765878,-1.499296,-2.141131,-20.647811
2.590000,12.723435,-0.900000,-2.150000,-0.660000,0.823435,-1.001818,-2.214251,-16.869297
2.690000,12.650612,-0.195579,-2.150000,-0.660000,0.750612,-0.295579,-1.954806,-9.980101
2.790000,12.575270,-0.282842,-2.150000,-0.660000,0.675270,-0.382842,-1.706976,-10.714634
2.890000,12.361101,-0.900000,-2.150000,-0.660000,0.461101,-1.284645,-1.071989,-23.061954
2.990000,12.093429,-0.900000,-1.755689,-0.660000,0.193429,-1.058456,-0.355689,-14.634448
3.090000,11.815067,-0.226506,-0.848623,-0.660000,-0.084933,-0.326506,0.551377,-6.136788
3.190000,11.592273,0.517965,-0.650000,0.840000,-0.307727,0.417965,1.413692,3.414755
3.290000,11.438120,1.100000,-0.650000,0.840000,-0.461880,1.050188,1.991166,13.214220
3.390000,11.369430,1.100000,-0.650000,0.840000,-0.530570,1.015216,2.389069,14.069821
3.490000,11.376528,0.716088,-0.650000,0.840000,-0.523472,0.616088,2.325245,10.818579
3.590000,11.527101,1.100000,-0.650000,0.840000,-0.372899,1.206717,1.858062,17.582616
3.690000,11.683981,0.415683,-0.650000,0.840000,-0.216019,0.315683,1.389010,9.442115
3.790000,11.868472,-0.433547,-0.650000,-0.660000,-0.031528,-0.533547,0.873655,-2.501531
3.890000,12.025260,-0.900000,-1.161272,-0.660000,0.125260,-1.356412,0.238728,-15.948331
3.990000,12.228636,-0.900000,-1.759097,-0.660000,0.328636,-1.509688,-0.359097,-20.716074
4.090000,12.426094,-0.900000,-2.150000,-0.660000,0.526094,-1.004312,-0.958414,-15.380754
4.190000,12.630530,-0.196710,-2.150000,-0.660000,0.730530,-0.296710,-1.712788,-5.856197
4.290000,12.731306,0.551778,-2.150000,0.840000,0.831306,0.451778,-2.208371,5.741638
4.390000,12.782632,0.789905,-2.150000,0.840000,0.882632,0.689905,-2.409352,3.944204
4.490000,12.678565,1.100000,-2.150000,0.840000,0.778565,1.067200,-2.114559,14.798640
4.590000,12.498262,1.100000,-2.150000,0.840000,0.598262,1.038512,-1.501253,18.684368
4.690000,12.237675,1.100000,-2.138122,0.840000,0.337675,1.123899,-0.738122,15.480427
4.790000,11.978617,0.439173,-1.289772,0.840000,0.078617,0.339173,0.110228,8.476547
4.890000,11.708908,-0.454771,-0.650000,-0.660000,-0.191092,-0.554771,0.918122,-1.542639
4.990000,11.429134,-0.900000,-0.650000,-0.660000,-0.470866,-1.375615,1.853174,-12.237299
5.090000,11.798914,-0.900000,-0.650000,-0.660000,-0.101086,-1.395941,3.276567,-47.109292
5.190000,12.872973,-0.280804,-0.650000,-0.660000,0.972973,-0.380804,7.447903,-100.221852
5.290000,12.469161,1.100000,-0.650000,-0.660000,0.569161,1.436291,20.860256,-164.757257
t,tau2,tau3,tau6,tau7,dtr2,dtr3,dtr6,dtr7
0.090000,11.404073,-0.545972,-2.150000,-0.660000,-0.495927,-0.645972,-3.461390,-3.459882
0.190000,13.190244,-0.900000,-0.650000,-0.660000,1.290244,-1.252217,0.903619,-16.945424
