reward,image,point_idx
19.959561696976433,6.3-training_start-0.5-4.0_red_points.png,13
19.629704296893905,6.3-training_start-0.5-4.0_red_points.png,14
8.353436113995109,6.3-training_start-0.5-4.0_red_points.png,15
19.95752323227787,6.3-training_start-0.5-4.0_red_points.png,16
19.020626505237395,6.3-training_start-0.5-4.0_red_points.png,17
30.696711209238277,6.3-training_start-0.5-4.0_red_points.png,18
14.596776629837862,6.3-training_start-0.5-4.0_red_points.png,19
27.87201854597611,6.3-training_start-0.5-4.0_red_points.png,20
17.26637920022633,6.3-training_start-0.5-4.0_red_points.png,21
21.252318945812107,6.3-training_start-0.5-4.0_red_points.png,22
20.287989651748497,6.4-training_start-0.5-4.0_red_points.png,1
23.14800353705685,6.4-training_start-0.5-4.0_red_points.png,2
16.881868208708006,6.4-training_start-0.5-4.0_red_points.png,3
41.669533775036825,6.4-training_start-0.5-4.0_red_points.png,4
25.742992385709215,6.4-training_start-0.5-4.0_red_points.png,5
18.81075739911919,6.4-training_start-0.5-4.0_red_points.png,6
21.920011616498414,6.4-training_start-0.5-4.0_red_points.png,7
22.524588825433263,6.4-training_start-0.5-4.0_red_points.png,8
37.3511251397879,6.4-training_start-0.5-4.0_red_points.png,9
7.698052511078629,6.4-training_start-0.5-4.0_red_points.png,10
23.82011141600794,6.4-training_start-0.5-4.0_red_points.png,11
18.676901571318687,6.4-training_start-0.5-4.0_red_points.png,12
18.86652063374853,6.4-training_start-0.5-4.0_red_points.png,13
15.382316456525913,6.4-training_start-0.5-4.0_red_points.png,14
12.635255338423711,6.4-training_start-0.5-4.0_red_points.png,15
24.42468862494279,6.4-training_start-0.5-4.0_red_points.png,16
14.501380729643337,6.4-training_start-0.5-4.0_red_points.png,17
32.57208625011242,6.4-training_start-0.5-4.0_red_points.png,18
8.964785710751642,6.4-training_start-0.5-4.0_red_points.png,19
11.872514191819256,6.4-training_start-0.5-4.0_red_points.png,20
20.256451677370094,6.4-training_start-0.5-4.0_red_points.png,21
14.66508510928022,6.4-training_start-0.5-4.0_red_points.png,22
21.441647097276437,6.4-training_start-0.5-4.0_red_points.png,23
21.655533078748498,6.4-training_start-0.5-4.0_red_points.png,24
20.35973952920063,6.4-training_start-0.5-4.0_red_points.png,25
17.433664867656482,6.4-training_start-0.5-4.0_red_points.png,26
28.566158083993194,6.4-training_start-0.5-4.0_red_points.png,27
24.5168146758281,6.4-training_start-0.5-4.0_red_points.png,28
15.29326017960988,6.4-training_start-0.5-4.0_red_points.png,29
17.89199045955678,6.4-training_start-0.5-4.0_red_points.png,30
29.693147159946477,6.4-training_start-0.5-4.0_red_points.png,31
18.35320173983748,6.4-training_start-0.5-4.0_red_points.png,32
13.924300029412791,6.4-training_start-0.5-4.0_red_points.png,33
10.893674901162832,6.4-training_start-0.5-4.0_red_points.png,34
15.971320031353187,6.4-training_start-0.5-4.0_red_points.png,35
25.029265833877638,6.4-training_start-0.5-4.0_red_points.png,36
11.453416173447557,6.4-training_start-0.5-4.0_red_points.png,37
19.470977968620275,6.4-training_start-0.5-4.0_red_points.png,38
22.890693913066034,6.4-training_start-0.5-4.0_red_points.png,39
26.549905467197238,6.4-training_start-0.5-4.0_red_points.png,40
14.549927545673583,6.4-training_start-0.5-4.0_red_points.png,41
32.245572426471654,6.4-training_start-0.5-4.0_red_points.png,42
28.627939696585074,6.4-training_start-0.5-4.0_red_points.png,43
19.32896643534906,6.4-training_start-0.5-4.0_red_points.png,44
14.921077260811195,6.4-training_start-0.5-4.0_red_points.png,45
3.647606668068228,6.4-training_start-0.5-4.0_red_points.png,46
45.435079477600176,6.4-training_start-0.5-4.0_red_points.png,47
23.647375070597985,6.4-training_start-0.5-4.0_red_points.png,48
12.69571083791358,6.4-training_start-0.5-4.0_red_points.png,49
20.653278416825394,6.4-training_start-0.5-4.0_red_points.png,50
33.435767977162214,6.4-training_start-0.5-4.0_red_points.png,51
15.730292572641623,6.4-training_start-0.5-4.0_red_points.png,52
15.38250127315849,6.4-training_start-0.5-4.0_red_points.png,53
12.688929754702137,6.4-training_start-0.5-4.0_red_points.png,54
24.97168705207432,6.4-training_start-0.5-4.0_red_points.png,55
20.06926505853459,6.4-training_start-0.5-4.0_red_points.png,56
25.51868547920585,6.4-training_start-0.5-4.0_red_points.png,57
19.81227924018298,6.4-training_start-0.5-4.0_red_points.png,58
20.394173898710463,6.4-training_start-0.5-4.0_red_points.png,59
21.6298646247156,6.4-training_start-0.5-4.0_red_points.png,60
11.66544515663837,6.4-training_start-0.5-4.0_red_points.png,61
17.083393945019623,6.4-training_start-0.5-4.0_red_points.png,62
28.576018945363586,6.4-training_start-0.5-4.0_red_points.png,63
20.466797500856558,6.5-training_start-0.5-4.0_red_points.png,1
33.118019631364696,6.5-training_start-0.5-4.0_red_points.png,2
34.926899657157655,6.5-training_start-0.5-4.0_red_points.png,3
24.49964252841761,6.5-training_start-0.5-4.0_red_points.png,4
35.93183300482041,6.5-training_start-0.5-4.0_red_points.png,5
14.191774917049464,6.5-training_start-0.5-4.0_red_points.png,6
22.503470121638557,6.5-training_start-0.5-4.0_red_points.png,7
26.141375562089152,6.5-training_start-0.5-4.0_red_points.png,8
19.685410550939196,6.5-training_start-0.5-4.0_red_points.png,9
20.351316934060776,6.5-training_start-0.5-4.0_red_points.png,10
24.312756419390013,6.5-training_start-0.5-4.0_red_points.png,11
19.015454985830694,6.5-training_start-0.5-4.0_red_points.png,12
48.25186921012239,6.5-training_start-0.5-4.0_red_points.png,13
21.494290576732155,6.5-training_start-0.5-4.0_red_points.png,14
11.176974874061202,6.5-training_start-0.5-4.0_red_points.png,15
25.246041741339774,6.5-training_start-0.5-4.0_red_points.png,16
16.879904626490827,6.5-training_start-0.5-4.0_red_points.png,17
20.087383890004297,6.5-training_start-0.5-4.0_red_points.png,18
15.8331660515653,6.5-training_start-0.5-4.0_red_points.png,19
50.811127383652085,6.5-training_start-0.5-4.0_red_points.png,20
21.0253216811562,6.5-training_start-0.5-4.0_red_points.png,21
28.086713693757048,6.5-training_start-0.5-4.0_red_points.png,22
34.31263919324492,6.5-training_start-0.5-4.0_red_points.png,23
10.376635648973888,6.5-training_start-0.5-4.0_red_points.png,24
27.343149903110735,6.5-training_start-0.5-4.0_red_points.png,25
16.907801846911063,6.5-training_start-0.5-4.0_red_points.png,26
13.565042291625382,6.5-training_start-0.5-4.0_red_points.png,27
32.885643435355036,6.5-training_start-0.5-4.0_red_points.png,28
19.417428324895795,6.5-training_start-0.5-4.0_red_points.png,29
30.672681818718658,6.5-training_start-0.5-4.0_red_points.png,30
15.575855684081148,6.5-training_start-0.5-4.0_red_points.png,31
20.582193928805864,6.5-training_start-0.5-4.0_red_points.png,32
28.36133511909432,6.5-training_start-0.5-4.0_red_points.png,33
22.20039720946285,6.5-training_start-0.5-4.0_red_points.png,34
32.548557401022464,6.5-training_start-0.5-4.0_red_points.png,35
20.124569497058488,6.5-training_start-0.5-4.0_red_points.png,36
29.86568988801978,6.5-training_start-0.5-4.0_red_points.png,37
35.42689334064803,6.5-training_start-0.5-4.0_red_points.png,38
28.461828453860598,6.5-training_start-0.5-4.0_red_points.png,39
24.062701708005534,6.5-training_start-0.5-4.0_red_points.png,40
17.100649553121933,6.5-training_start-0.5-4.0_red_points.png,41
20.023315323826445,6.5-training_start-0.5-4.0_red_points.png,42
8.670732010041661,6.5-training_start-0.5-4.0_red_points.png,43
25.33869517055691,6.5-training_start-0.5-4.0_red_points.png,44
29.10498579636476,6.5-training_start-0.5-4.0_red_points.png,45
28.3684533969736,6.5-training_start-0.5-4.0_red_points.png,46
14.62277966393593,6.5-training_start-0.5-4.0_red_points.png,47
22.234445833662903,6.5-training_start-0.5-4.0_red_points.png,48
47.8905398420072,6.5-training_start-0.5-4.0_red_points.png,49
20.65684612034653,6.5-training_start-0.5-4.0_red_points.png,50
13.99078824751691,6.5-training_start-0.5-4.0_red_points.png,51
25.648015080404882,6.5-training_start-0.5-4.0_red_points.png,52
33.58173397348882,6.5-training_start-0.5-4.0_red_points.png,53
13.966669847173009,6.5-training_start-0.5-4.0_red_points.png,54
24.080319058050982,6.5-training_start-0.5-4.0_red_points.png,55
18.94845942931984,6.5-training_start-0.5-4.0_red_points.png,56
25.3774994089472,6.5-training_start-0.5-4.0_red_points.png,57
4.946388118552115,6.5-training_start-0.5-4.0_red_points.png,58
18.73630683370215,6.5-training_start-0.5-4.0_red_points.png,59
17.575050520847412,6.5-training_start-0.5-4.0_red_points.png,60
9.636077074311636,6.5-training_start-0.5-4.0_red_points.png,61
28.66064620249891,6.5-training_start-0.5-4.0_red_points.png,62
14.80554066056822,6.5-training_start-0.5-4.0_red_points.png,63
24.743575067508402,6.5-training_start-0.5-4.0_red_points.png,64
7.3917259311981525,6.5-training_start-0.5-4.0_red_points.png,65
20.3801938811076,6.5-training_start-0.5-4.0_red_points.png,66
6.560695942989099,6.5-training_start-0.5-4.0_red_points.png,67
21.929761694052686,6.5-training_start-0.5-4.0_red_points.png,68
