reward,segment,idx_in_segment,global_index
24.608785841286707,1,1,1
29.687093694132948,1,2,2
25.493389205628954,1,3,3
22.026450511945395,1,4,4
19.699071525560573,1,5,5
22.78972510505909,1,6,6
20.066448547646523,1,7,7
27.679180887372013,1,8,8
23.34592881521209,1,9,9
19.63737201365188,1,10,10
42.20202152796009,1,11,11
28.10580204778157,1,12,12
21.133550449454408,1,13,13
23.946245733788395,1,14,14
21.94112627986348,1,15,15
17.16296928327645,1,16,16
21.340988613875584,1,17,17
30.47354948805461,1,18,18
28.916382252559725,1,19,19
30.390822080427363,1,20,20
19.0501118662164,1,21,21
39.28554015462841,1,22,22
23.26841617435596,1,23,23
21.917951797075805,1,24,24
15.11518771331058,1,25,25
21.68255675916308,1,26,26
27.03924914675768,1,27,27
23.05949300891776,1,28,28
27.76450511945392,1,29,29
40.66738278075735,1,30,30
16.293414976912267,1,31,31
19.50938566552901,1,32,32
18.165529010238902,1,33,33
19.76535836177474,1,34,34
17.37627986348123,1,35,35
27.420351352998537,1,36,36
28.20975720395732,1,37,37
26.164675767918087,1,38,38
19.54948805460751,1,39,39
26.31399317406144,1,40,40
22.72742395947368,1,41,41
28.014170244779624,1,42,42
21.81313993174061,1,43,43
16.352389078498295,1,44,44
14.97147240321302,1,45,45
29.447230777768528,1,46,46
17.84556313993174,1,47,47
21.17320819112628,1,48,48
22.23671379814725,1,49,49
14.24061433447099,1,50,50
24.799488054607508,1,51,51
29.457437142573543,1,52,52
24.71022578104489,1,53,53
21.83447098976109,1,54,54
18.35750853242321,1,55,55
25.52474402730376,1,56,56
30.324232081911266,1,57,57
28.215054162338625,1,58,58
19.867807527760423,1,59,59
27.784470149128264,1,60,60
34.63310580204778,1,61,61
31.09322568617891,1,62,62
30.729522184300343,1,63,63
19.061433447098977,1,64,64
26.441979522184297,1,65,65
21.21587030716724,1,66,66
34.0177452801659,1,67,67
25.445026178010476,2,1,68
31.17801047120419,2,2,69
24.94764397905759,2,3,70
27.63986116830402,2,4,71
29.86387434554974,2,5,72
18.15893279781969,2,6,73
23.63874345549738,2,7,74
20.23560209424084,2,8,75
21.96783844427824,2,9,76
31.542998134440637,2,10,77
41.56042532520106,2,11,78
26.417223325510022,2,12,79
25.842455973346027,2,13,80
36.02094240837697,2,14,81
21.8848167539267,2,15,82
27.649449089630384,2,16,83
14.214659685863872,2,17,84
25.76374345549738,2,18,85
25.104712041884817,2,19,86
24.63350785340314,2,20,87
28.92670157068063,2,21,88
23.56550385316784,2,22,89
32.95811518324607,2,23,90
24.31937172774869,2,24,91
33.01047120418848,2,25,92
21.905652313281333,2,26,93
18.554973821989527,2,27,94
20.0261780104712,2,28,95
18.216663434813523,2,29,96
21.8848167539267,2,30,97
30.418848167539267,2,31,98
45.28795811518325,2,32,99
27.43455497382199,2,33,100
36.33507853403141,2,34,101
19.928565090070094,2,35,102
17.146596858638738,2,36,103
14.188481675392673,2,37,104
23.301795063575167,2,38,105
24.872652836279183,2,39,106
26.496053762600614,2,40,107
29.13612565445026,2,41,108
28.436352270063296,2,42,109
22.565445026178008,2,43,110
22.25130890052356,2,44,111
25.41884816753927,2,45,112
25.650734673197093,2,46,113
25.0,2,47,114
22.670157068062828,2,48,115
21.49214659685864,2,49,116
22.886496097994662,2,50,117
24.71365283930729,2,51,118
21.963350785340317,2,52,119
29.162303664921467,2,53,120
18.97905759162304,2,54,121
18.06558280518049,2,55,122
20.07853403141361,2,56,123
21.8848167539267,2,57,124
30.37772422464376,3,1,125
31.08645671177105,3,2,126
18.192455993294217,3,3,127
23.022632020117356,3,4,128
24.27493713327745,3,5,129
18.63946353730092,3,6,130
33.75523889354568,3,7,131
26.08432366373941,3,8,132
28.600167644593466,3,9,133
25.305951383067896,3,10,134
26.890192791282484,3,11,135
24.75272422464376,3,12,136
17.689714825845805,3,13,137
27.518860016764457,3,14,138
31.29086336965633,3,15,139
27.928352548335237,3,16,140
24.72757753562448,3,17,141
24.321477274148958,3,18,142
31.21542330259849,3,19,143
28.85827705641399,3,20,144
33.42833193629505,3,21,145
19.09471919530595,3,22,146
22.32690695725063,3,23,147
34.9371332774518,3,24,148
32.342946467003465,3,25,149
30.15926236378877,3,26,150
21.43336127409891,3,27,151
19.4529198100028,3,28,152
45.46827648462183,3,29,153
21.37955905573208,3,30,154
15.272422464375524,3,31,155
28.24380313734882,3,32,156
18.994132439228835,3,33,157
28.22296730930428,3,34,158
18.51634534786253,3,35,159
30.80972338642079,3,36,160
17.1081307627829,3,37,161
30.88343049813048,3,38,162
37.16986341896356,3,39,163
13.310980720871749,3,40,164
34.3336127409891,3,41,165
21.357921207041077,3,42,166
20.57837384744342,3,43,167
14.970662196144175,3,44,168
13.088878673985349,3,45,169
20.230930427493718,3,46,170
25.398091922985863,3,47,171
21.107969177632576,3,48,172
23.319362950544846,3,49,173
20.55322715842414,3,50,174
25.45683151718357,3,51,175
25.356244761106456,3,52,176
21.43336127409891,3,53,177
26.71877619446773,3,54,178
