reward,episode,image,idx_in_image,dataset
41.7603200581924,,6.2-training_start-0.5-4.0_red_points.png,16,segment6_1_to_6_5
14.458770396270396,,6.2-training_start-0.5-4.0_red_points.png,17,segment6_1_to_6_5
16.066308243727597,,6.2-training_start-0.5-4.0_red_points.png,18,segment6_1_to_6_5
5.104946675743136,,6.2-training_start-0.5-4.0_red_points.png,19,segment6_1_to_6_5
10.989583333333336,,6.2-training_start-0.5-4.0_red_points.png,20,segment6_1_to_6_5
9.02403846153846,,6.2-training_start-0.5-4.0_red_points.png,21,segment6_1_to_6_5
12.467948717948715,,6.2-training_start-0.5-4.0_red_points.png,22,segment6_1_to_6_5
15.320512820512818,,6.2-training_start-0.5-4.0_red_points.png,23,segment6_1_to_6_5
22.396916146916148,,6.2-training_start-0.5-4.0_red_points.png,24,segment6_1_to_6_5
17.718195266272197,,6.2-training_start-0.5-4.0_red_points.png,25,segment6_1_to_6_5
26.705128205128204,,6.2-training_start-0.5-4.0_red_points.png,26,segment6_1_to_6_5
38.49023199023199,,6.2-training_start-0.5-4.0_red_points.png,27,segment6_1_to_6_5
12.738095238095234,,6.2-training_start-0.5-4.0_red_points.png,28,segment6_1_to_6_5
32.94871794871795,,6.2-training_start-0.5-4.0_red_points.png,29,segment6_1_to_6_5
36.8560338743825,,6.2-training_start-0.5-4.0_red_points.png,30,segment6_1_to_6_5
16.54380341880342,,6.2-training_start-0.5-4.0_red_points.png,31,segment6_1_to_6_5
18.7767094017094,,6.2-training_start-0.5-4.0_red_points.png,32,segment6_1_to_6_5
17.730643539467074,,6.2-training_start-0.5-4.0_red_points.png,33,segment6_1_to_6_5
28.705357142857142,,6.3-training_start-0.5-4.0_red_points.png,1,segment6_1_to_6_5
17.504038270377734,,6.3-training_start-0.5-4.0_red_points.png,2,segment6_1_to_6_5
16.891466733579108,,6.3-training_start-0.5-4.0_red_points.png,3,segment6_1_to_6_5
11.2379887342611,,6.3-training_start-0.5-4.0_red_points.png,4,segment6_1_to_6_5
44.18396597161219,,6.3-training_start-0.5-4.0_red_points.png,5,segment6_1_to_6_5
26.920525042515987,,6.3-training_start-0.5-4.0_red_points.png,6,segment6_1_to_6_5
29.663174797369628,,6.3-training_start-0.5-4.0_red_points.png,7,segment6_1_to_6_5
19.82604373757455,,6.3-training_start-0.5-4.0_red_points.png,8,segment6_1_to_6_5
13.687872763419485,,6.3-training_start-0.5-4.0_red_points.png,9,segment6_1_to_6_5
21.855427941902725,,6.3-training_start-0.5-4.0_red_points.png,10,segment6_1_to_6_5
22.91252485089463,,6.3-training_start-0.5-4.0_red_points.png,11,segment6_1_to_6_5
30.719391516072108,,6.3-training_start-0.5-4.0_red_points.png,12,segment6_1_to_6_5
15.96942156584304,,6.3-training_start-0.5-4.0_red_points.png,13,segment6_1_to_6_5
21.714711729622262,,6.3-training_start-0.5-4.0_red_points.png,14,segment6_1_to_6_5
